,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
234,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
235,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
236,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
237,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
238,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
239,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,28658.26,contemplado
240,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
241,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
242,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
243,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
244,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
245,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
246,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
247,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,17545.8,contemplado
248,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
249,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
250,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
251,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
252,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,29435.0,contemplado
253,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
254,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
255,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
256,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
257,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
258,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
259,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
260,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
261,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
262,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
263,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
264,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
265,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
266,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
267,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
268,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
269,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
270,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
271,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,48000.0,contemplado
272,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
273,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
274,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
275,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
276,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
277,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
278,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
279,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
280,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
281,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
282,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
283,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
284,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
285,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
286,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
287,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
288,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
289,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
290,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
291,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
292,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
293,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18400.0,contemplado
294,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,48000.0,contemplado
295,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
