,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
47,ES,Entidades Empresariais,1,110290.72,553,14633174.68,0.0018083182640144665,0.007537032968706419,0.0018083182640144665,0.007537032968706419
48,GO,Microempresa-ME,272,5941819.11,645,18108394.63,0.42170542635658914,0.3281251171849462,0.42170542635658914,0.3281251171849462
49,GO,MEI,141,2226053.67,645,18108394.63,0.2186046511627907,0.12292937698144256,0.2186046511627907,0.12292937698144256
50,GO,Empresa de Pequeno Porte (EPP),38,1244188.97,645,18108394.63,0.05891472868217054,0.06870785596525296,0.05891472868217054,0.06870785596525296
51,GO,Administração Pública,0,0.0,645,18108394.63,0.0,0.0,0.0,0.0
52,GO,Entidades sem fins lucrativos,169,8329374.7299999995,645,18108394.63,0.262015503875969,0.4599731174513287,0.262015503875969,0.4599731174513287
53,GO,Entidades Empresariais,25,366958.15,645,18108394.63,0.03875968992248062,0.020264532417029617,0.03875968992248062,0.020264532417029617
54,MA,Microempresa-ME,180,8306849.95,528,21178928.89,0.3409090909090909,0.39222238259283376,0.3409090909090909,0.39222238259283376
55,MA,MEI,59,1206573.27,528,21178928.89,0.11174242424242424,0.056970457583891534,0.11174242424242424,0.056970457583891534
56,MA,Empresa de Pequeno Porte (EPP),64,4911014.11,528,21178928.89,0.12121212121212122,0.23188208126610316,0.12121212121212122,0.23188208126610316
57,MA,Administração Pública,1,681.29,528,21178928.89,0.001893939393939394,3.216829347407096e-05,0.001893939393939394,3.216829347407096e-05
58,MA,Entidades sem fins lucrativos,220,6631750.51,528,21178928.89,0.4166666666666667,0.31312964618958117,0.4166666666666667,0.31312964618958117
59,MA,Entidades Empresariais,4,122059.76000000001,528,21178928.89,0.007575757575757576,0.005763264074116262,0.007575757575757576,0.005763264074116262
60,MT,Microempresa-ME,174,2734230.73,559,11580912.129999999,0.3112701252236136,0.23609804644981797,0.3112701252236136,0.23609804644981797
61,MT,MEI,166,2217502.71,559,11580912.129999999,0.29695885509839,0.19147910674977206,0.29695885509839,0.19147910674977206
62,MT,Empresa de Pequeno Porte (EPP),58,970088.4400000001,559,11580912.129999999,0.1037567084078712,0.08376615150088357,0.1037567084078712,0.08376615150088357
63,MT,Administração Pública,2,77743.53,559,11580912.129999999,0.0035778175313059034,0.006713074853457161,0.0035778175313059034,0.006713074853457161
64,MT,Entidades sem fins lucrativos,144,5225053.93,559,11580912.129999999,0.25760286225402507,0.45117809990671265,0.25760286225402507,0.45117809990671265
65,MT,Entidades Empresariais,15,356292.79,559,11580912.129999999,0.026833631484794274,0.03076552053935669,0.026833631484794274,0.03076552053935669
66,MS,Microempresa-ME,77,1351048.54,263,5901498.86,0.29277566539923955,0.22893311886533177,0.29277566539923955,0.22893311886533177
67,MS,MEI,60,764290.64,263,5901498.86,0.22813688212927757,0.12950788573057523,0.22813688212927757,0.12950788573057523
68,MS,Empresa de Pequeno Porte (EPP),13,587418.14,263,5901498.86,0.049429657794676805,0.09953710979789972,0.049429657794676805,0.09953710979789972
69,MS,Administração Pública,3,114558.97,263,5901498.86,0.011406844106463879,0.01941184311268341,0.011406844106463879,0.01941184311268341
70,MS,Entidades sem fins lucrativos,106,2931922.85,263,5901498.86,0.40304182509505704,0.4968098646722436,0.40304182509505704,0.4968098646722436
71,MS,Entidades Empresariais,4,152259.72,263,5901498.86,0.015209125475285171,0.02580017782126624,0.015209125475285171,0.02580017782126624
72,MG,Microempresa-ME,1262,20255781.73,3569,67371523.12,0.35360044830484727,0.3006579158663379,0.35360044830484727,0.3006579158663379
73,MG,MEI,705,8115375.86,3569,67371523.12,0.19753432333987112,0.12045706381827159,0.19753432333987112,0.12045706381827159
74,MG,Empresa de Pequeno Porte (EPP),325,4989535.72,3569,67371523.12,0.09106192210703279,0.0740600106533557,0.09106192210703279,0.0740600106533557
75,MG,Administração Pública,27,3553376.82,3569,67371523.12,0.007565144298122724,0.05274300855082107,0.007565144298122724,0.05274300855082107
76,MG,Entidades sem fins lucrativos,1167,28215678.46,3569,67371523.12,0.3269823479966377,0.41880719261375665,0.3269823479966377,0.41880719261375665
77,MG,Entidades Empresariais,83,2241774.53,3569,67371523.12,0.023255813953488372,0.033274808497457044,0.023255813953488372,0.033274808497457044
78,PA,Microempresa-ME,115,5131882.77,408,14089127.409999998,0.2818627450980392,0.3642441877811083,0.2818627450980392,0.3642441877811083
79,PA,MEI,71,1377829.44,408,14089127.409999998,0.17401960784313725,0.09779380936125696,0.17401960784313725,0.09779380936125696
80,PA,Empresa de Pequeno Porte (EPP),60,2371457.04,408,14089127.409999998,0.14705882352941177,0.16831823369819326,0.14705882352941177,0.16831823369819326
81,PA,Administração Pública,1,16961.12,408,14089127.409999998,0.0024509803921568627,0.0012038446034607904,0.0024509803921568627,0.0012038446034607904
82,PA,Entidades sem fins lucrativos,155,4986251.09,408,14089127.409999998,0.3799019607843137,0.3539077293360924,0.3799019607843137,0.3539077293360924
83,PA,Entidades Empresariais,6,204745.95,408,14089127.409999998,0.014705882352941176,0.014532195219888357,0.014705882352941176,0.014532195219888357
84,PB,Microempresa-ME,356,3582450.69,924,12041804.639999999,0.3852813852813853,0.297501146804853,0.3852813852813853,0.297501146804853
85,PB,MEI,280,2403605.94,924,12041804.639999999,0.30303030303030304,0.1996051266282626,0.30303030303030304,0.1996051266282626
86,PB,Empresa de Pequeno Porte (EPP),85,1137263.8,924,12041804.639999999,0.09199134199134198,0.09444297046825369,0.09199134199134198,0.09444297046825369
87,PB,Administração Pública,2,1523.04,924,12041804.639999999,0.0021645021645021645,0.00012647938124995192,0.0021645021645021645,0.00012647938124995192
88,PB,Entidades sem fins lucrativos,181,4597147.68,924,12041804.639999999,0.1958874458874459,0.38176567528170763,0.1958874458874459,0.38176567528170763
