,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
180,GERENTE COMERCIAL,65,0.001080093054170821,522066.45999999996,0.0008589276238582724
181,PROFESSOR PRATICO NO ENSINO PROFISSIONALIZANTE,33,0.0005483549351944167,521508.8,0.0008580101361140477
182,RELACOES PUBLICAS,25,0.00041542040545031574,520468.19,0.0008562980769354843
183,ANALISTA DE RECURSOS HUMANOS,53,0.0008806912595546693,516544.87,0.0008498432513846614
184,REVISOR DE TEXTO,6,9.970089730807577e-05,512996.0,0.0008440044881044425
185,CONFERENTE DE CARGA E DESCARGA,50,0.0008308408109006315,505236.01,0.0008312373975469223
186,AVALIADOR FISICO,25,0.00041542040545031574,505232.14,0.0008312310304458749
187,FISCAL DE TRIBUTOS MUNICIPAL,76,0.0012628780325689597,500544.25,0.000823518299352962
188,EMBALADOR A MAO,73,0.0012130275839149218,497175.51,0.0008179758941894578
189,ANALISTA DE MIDIAS SOCIAIS,43,0.000714523097374543,496071.31,0.0008161592138337339
190,TRABALHADOR VOLANTE DA AGRICULTURA,144,0.0023928215353938185,491784.38,0.0008091061604762232
191,ARQUITETO DE EDIFICACOES,9,0.00014955134596211366,488953.75,0.0008044490785025566
192,PROFESSOR DE ARTES DO ESPETACULO NO ENSINO SUPERIOR,40,0.0006646726487205051,488472.56,0.0008036574027007355
193,COMPRADOR,33,0.0005483549351944167,481391.37,0.0007920071049574387
194,INSPETOR DE QUALIDADE,43,0.000714523097374543,479805.79000000004,0.0007893984362032017
195,AGENTE INDIGENA DE SANEAMENTO,23,0.00038218677301429045,472090.83,0.0007767054310617459
196,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,32,0.0005317381189764042,468580.42,0.0007709299439330222
197,ARTISTA (ARTES VISUAIS),33,0.0005483549351944167,466800.25,0.0007680011268085438
198,ARMAZENISTA,67,0.0011133266866068462,463303.05,0.0007622473733761606
199,MARCENEIRO,41,0.0006812894649385178,462207.8,0.0007604454179698877
200,DOCUMENTALISTA,10,0.00016616816218012627,461447.33,0.0007591942579353674
201,OPERADOR DE MAQUINAS FIXAS EM GERAL,62,0.001030242605516783,459072.62,0.0007552872764034519
202,NUTRICIONISTA,51,0.000847457627118644,458946.05,0.0007550790376490379
203,MOTORISTA DE ONIBUS URBANO,85,0.0014124293785310734,456289.59,0.0007507085081274239
204,DIRETOR DE ARTE,17,0.0002824858757062147,453496.57,0.0007461133038463662
205,TECNICO DE LABORATORIO DE ANALISES FISICO-QUIMICAS (MATERIAIS DE CONSTRUCAO),20,0.00033233632436025255,453098.95999999996,0.0007454591376842222
206,CUIDADOR EM SAUDE,46,0.0007643735460285809,452676.9,0.0007447647452635223
207,TRABALHADOR POLIVALENTE DA CONFECCAO DE CALCADOS,70,0.001163177135260884,452142.87,0.0007438861346763396
208,AGENTE PUBLICITARIO,42,0.0006979062811565304,450088.17,0.0007405056482364682
209,ENCANADOR,53,0.0008806912595546693,448839.33,0.0007384509995356512
210,TECNICO EM INSTALACAO DE EQUIPAMENTOS DE AUDIO,15,0.0002492522432701894,446826.12,0.0007351387743418939
211,PROFESSOR DE GEOGRAFIA NO ENSINO MEDIO,30,0.0004985044865403788,444661.05,0.0007315767021287376
212,MONITOR DE TRANSPORTE ESCOLAR,76,0.0012628780325689597,441701.56,0.0007267076137878924
213,COPEIRO,81,0.001345962113659023,438252.45,0.0007210329802235647
214,COSTUREIRO A  MAQUINA  NA CONFECCAO EM SERIE,63,0.0010468594217347956,434852.47,0.0007154391775828708
