,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
81,PA,Administração Pública,2,20004778.59,475,72158060.99,0.004210526315789474,0.2772355342637652,0.004210526315789474,0.2772355342637652
82,PA,Entidades sem fins lucrativos,208,37958466.42,475,72158060.99,0.4378947368421053,0.5260460979579324,0.4378947368421053,0.5260460979579324
83,PA,Entidades Empresariais,6,204745.95,475,72158060.99,0.01263157894736842,0.0028374646878104814,0.01263157894736842,0.0028374646878104814
84,PB,Microempresa-ME,428,5152674.19,1280,25707283.76,0.334375,0.20043635251801492,0.334375,0.20043635251801492
85,PB,MEI,450,5857830.94,1280,25707283.76,0.3515625,0.22786658422134287,0.3515625,0.22786658422134287
86,PB,Empresa de Pequeno Porte (EPP),88,1290263.8,1280,25707283.76,0.06875,0.05019059236462872,0.06875,0.05019059236462872
87,PB,Administração Pública,3,516523.04,1280,25707283.76,0.00234375,0.02009247825722059,0.00234375,0.02009247825722059
88,PB,Entidades sem fins lucrativos,287,12162571.31,1280,25707283.76,0.22421875,0.4731177133900357,0.22421875,0.4731177133900357
89,PB,Entidades Empresariais,24,727420.48,1280,25707283.76,0.01875,0.02829627924875716,0.01875,0.02829627924875716
90,PR,Microempresa-ME,897,36547624.95,2149,87786018.5,0.41740344346207536,0.4163262621370623,0.41740344346207536,0.4163262621370623
91,PR,MEI,541,17235129.830000002,2149,87786018.5,0.2517449976733364,0.19633114845047908,0.2517449976733364,0.19633114845047908
92,PR,Empresa de Pequeno Porte (EPP),238,7547078.63,2149,87786018.5,0.11074918566775244,0.08597130566982031,0.11074918566775244,0.08597130566982031
93,PR,Administração Pública,17,1012106.89,2149,87786018.5,0.007910656119125175,0.011529249273333885,0.007910656119125175,0.011529249273333885
94,PR,Entidades sem fins lucrativos,400,24130055.8,2149,87786018.5,0.18613308515588645,0.2748735642908785,0.18613308515588645,0.2748735642908785
95,PR,Entidades Empresariais,56,1314022.4,2149,87786018.5,0.026058631921824105,0.014968470178425963,0.026058631921824105,0.014968470178425963
96,PE,Microempresa-ME,343,9206424.63,1410,49079558.6,0.24326241134751772,0.18758165094826262,0.24326241134751772,0.18758165094826262
97,PE,MEI,472,9555390.02,1410,49079558.6,0.3347517730496454,0.1946918491642669,0.3347517730496454,0.1946918491642669
98,PE,Empresa de Pequeno Porte (EPP),47,1315642.29,1410,49079558.6,0.03333333333333333,0.026806318710453927,0.03333333333333333,0.026806318710453927
99,PE,Administração Pública,2,25795.0,1410,49079558.6,0.0014184397163120568,0.000525575223897796,0.0014184397163120568,0.000525575223897796
100,PE,Entidades sem fins lucrativos,523,25151007.09,1410,49079558.6,0.3709219858156028,0.5124538159558754,0.3709219858156028,0.5124538159558754
101,PE,Entidades Empresariais,23,3825299.57,1410,49079558.6,0.016312056737588652,0.07794078999724337,0.016312056737588652,0.07794078999724337
102,PI,Microempresa-ME,292,11321335.02,790,38469447.67,0.369620253164557,0.2942941920330409,0.369620253164557,0.2942941920330409
103,PI,MEI,107,2789967.54,790,38469447.67,0.13544303797468354,0.0725242421968987,0.13544303797468354,0.0725242421968987
104,PI,Empresa de Pequeno Porte (EPP),101,4669761.5,790,38469447.67,0.12784810126582277,0.1213888366700327,0.12784810126582277,0.1213888366700327
105,PI,Administração Pública,0,0.0,790,38469447.67,0.0,0.0,0.0,0.0
106,PI,Entidades sem fins lucrativos,269,18999637.19,790,38469447.67,0.34050632911392403,0.4938890038916953,0.34050632911392403,0.4938890038916953
107,PI,Entidades Empresariais,21,688746.42,790,38469447.67,0.026582278481012658,0.01790372520833232,0.026582278481012658,0.01790372520833232
108,RJ,Microempresa-ME,391,33673502.59,1758,144848581.8,0.2224118316268487,0.23247381625382266,0.2224118316268487,0.23247381625382266
109,RJ,MEI,715,34812291.51,1758,144848581.8,0.40671217292377704,0.24033574286607198,0.40671217292377704,0.24033574286607198
110,RJ,Empresa de Pequeno Porte (EPP),40,6410919.52,1758,144848581.8,0.022753128555176336,0.044259456601735254,0.022753128555176336,0.044259456601735254
111,RJ,Administração Pública,4,501186.2,1758,144848581.8,0.0022753128555176336,0.003460069776119824,0.0022753128555176336,0.003460069776119824
112,RJ,Entidades sem fins lucrativos,572,58452580.67,1758,144848581.8,0.3253697383390216,0.4035426508400926,0.3253697383390216,0.4035426508400926
113,RJ,Entidades Empresariais,36,10998101.31,1758,144848581.8,0.020477815699658702,0.07592826366215757,0.020477815699658702,0.07592826366215757
114,RN,Microempresa-ME,217,3995920.01,976,25812796.400000002,0.2223360655737705,0.15480384023793717,0.2223360655737705,0.15480384023793717
115,RN,MEI,425,8086872.57,976,25812796.400000002,0.4354508196721312,0.31328928662684524,0.4354508196721312,0.31328928662684524
116,RN,Empresa de Pequeno Porte (EPP),48,1757453.1600000001,976,25812796.400000002,0.04918032786885246,0.06808457064341933,0.04918032786885246,0.06808457064341933
117,RN,Administração Pública,4,82294.01,976,25812796.400000002,0.004098360655737705,0.003188109057413089,0.004098360655737705,0.003188109057413089
118,RN,Entidades sem fins lucrativos,273,10505246.31,976,25812796.400000002,0.2797131147540984,0.40697823464024224,0.2797131147540984,0.40697823464024224
119,RN,Entidades Empresariais,9,1385010.34,976,25812796.400000002,0.009221311475409836,0.053655958794142894,0.009221311475409836,0.053655958794142894
120,RS,Microempresa-ME,1058,41667482.75,3584,123825777.56,0.29520089285714285,0.33650087704726866,0.29520089285714285,0.33650087704726866
121,RS,MEI,1061,34023755.16,3584,123825777.56,0.29603794642857145,0.2747711811744023,0.29603794642857145,0.2747711811744023
122,RS,Empresa de Pequeno Porte (EPP),180,5098202.4,3584,123825777.56,0.05022321428571429,0.041172383492844675,0.05022321428571429,0.041172383492844675
123,RS,Administração Pública,3,30094.91,3584,123825777.56,0.0008370535714285714,0.0002430423664040184,0.0008370535714285714,0.0002430423664040184
124,RS,Entidades sem fins lucrativos,1214,41433529.1,3584,123825777.56,0.33872767857142855,0.33461149945069646,0.33872767857142855,0.33461149945069646
125,RS,Entidades Empresariais,68,1572713.24,3584,123825777.56,0.018973214285714284,0.012701016468383886,0.018973214285714284,0.012701016468383886
126,RO,Microempresa-ME,15,169841.27,82,2391872.8099999996,0.18292682926829268,0.07100765111335498,0.18292682926829268,0.07100765111335498
127,RO,MEI,26,424150.06,82,2391872.8099999996,0.3170731707317073,0.1773296883624845,0.3170731707317073,0.1773296883624845
128,RO,Empresa de Pequeno Porte (EPP),3,136807.74,82,2391872.8099999996,0.036585365853658534,0.05719691257329022,0.036585365853658534,0.05719691257329022
129,RO,Administração Pública,1,65954.54,82,2391872.8099999996,0.012195121951219513,0.027574434444948604,0.012195121951219513,0.027574434444948604
130,RO,Entidades sem fins lucrativos,35,1395799.2,82,2391872.8099999996,0.4268292682926829,0.5835591232796363,0.4268292682926829,0.5835591232796363
131,RO,Entidades Empresariais,2,199320.0,82,2391872.8099999996,0.024390243902439025,0.0833321902262855,0.024390243902439025,0.0833321902262855
132,RR,Microempresa-ME,29,2878647.38,111,7225492.44,0.26126126126126126,0.3984015489468839,0.26126126126126126,0.3984015489468839
133,RR,MEI,23,408646.43,111,7225492.44,0.2072072072072072,0.056556204769899386,0.2072072072072072,0.056556204769899386
134,RR,Empresa de Pequeno Porte (EPP),1,180000.0,111,7225492.44,0.009009009009009009,0.024911796876781453,0.009009009009009009,0.024911796876781453
135,RR,Administração Pública,1,20000.0,111,7225492.44,0.009009009009009009,0.0027679774307534945,0.009009009009009009,0.0027679774307534945
136,RR,Entidades sem fins lucrativos,56,3558479.12,111,7225492.44,0.5045045045045045,0.4924894945983778,0.5045045045045045,0.4924894945983778
137,RR,Entidades Empresariais,1,179719.51,111,7225492.44,0.009009009009009009,0.02487297737730385,0.009009009009009009,0.02487297737730385
138,SC,Microempresa-ME,686,14269321.0,2472,60983073.88,0.27750809061488674,0.23398822151993495,0.27750809061488674,0.23398822151993495
139,SC,MEI,753,13007307.43,2472,60983073.88,0.30461165048543687,0.2132937322181438,0.30461165048543687,0.2132937322181438
140,SC,Empresa de Pequeno Porte (EPP),162,2208697.82,2472,60983073.88,0.06553398058252427,0.03621821071771792,0.06553398058252427,0.03621821071771792
141,SC,Administração Pública,17,1201384.53,2472,60983073.88,0.006877022653721683,0.019700294746769167,0.006877022653721683,0.019700294746769167
142,SC,Entidades sem fins lucrativos,746,29083007.97,2472,60983073.88,0.3017799352750809,0.47690295223931073,0.3017799352750809,0.47690295223931073
143,SC,Entidades Empresariais,108,1213355.13,2472,60983073.88,0.043689320388349516,0.019896588558123363,0.043689320388349516,0.019896588558123363
144,SP,Microempresa-ME,1663,112573428.9,4990,376095090.33,0.33326653306613224,0.29932171888025405,0.33326653306613224,0.29932171888025405
145,SP,MEI,1759,50879459.36,4990,376095090.33,0.3525050100200401,0.13528349789239857,0.3525050100200401,0.13528349789239857
146,SP,Empresa de Pequeno Porte (EPP),221,18024064.21,4990,376095090.33,0.04428857715430862,0.04792422095748447,0.04428857715430862,0.04792422095748447
147,SP,Administração Pública,14,211783.62,4990,376095090.33,0.0028056112224448897,0.0005631118976165657,0.0028056112224448897,0.0005631118976165657
